Set,Domain,Mean score
OpenSAGE full 56,D1,5.50608630952381
OpenSAGE full 56,D2,5.326696428571428
OpenSAGE full 56,D3,4.900297619047619
OpenSAGE full 56,D4,5.415855654761905
OpenSAGE full 56,D5,4.93546875
OpenSAGE full 56,D6,5.970870535714286
OpenSAGE full 56,D7,5.767016369047619
Stage 1 OpenSAGE 46,D1,5.447626811594203
Stage 1 OpenSAGE 46,D2,5.372355072463768
Stage 1 OpenSAGE 46,D3,4.942028985507246
Stage 1 OpenSAGE 46,D4,5.462780797101449
Stage 1 OpenSAGE 46,D5,4.954048913043478
Stage 1 OpenSAGE 46,D6,5.9826539855072465
Stage 1 OpenSAGE 46,D7,5.767092391304349
Stage 2 OpenSAGE 10,D1,5.775
Stage 2 OpenSAGE 10,D2,5.116666666666666
Stage 2 OpenSAGE 10,D3,4.708333333333333
Stage 2 OpenSAGE 10,D4,5.2
Stage 2 OpenSAGE 10,D5,4.85
Stage 2 OpenSAGE 10,D6,5.916666666666667
Stage 2 OpenSAGE 10,D7,5.766666666666667
